epoch,score,best_score,mode,action,target_layer,target_block,target_step,reason,growth_detail,step_score,depth_score,width_score,primitive_score,prune_score,repair_category_score,descriptor_repair_score,soft_prune_score,category_consistency,expected_cost,alive_mean,seconds,train_block_mse,train_block_cos,train_delta_mse,train_delta_cos,train_norm_mse,train_norm_cos,val_block_mse,val_block_cos,val_delta_mse,val_delta_cos,val_norm_mse,val_norm_cos
1,0.0007000611126423109,0.0007000611126423109,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05836709216237068,0.8163349628448486,18.878721952438354,0.6842885802189509,0.9179988577961922,0.6842885759969553,0.5902889701266152,0.11411109740535418,0.9425490538279215,0.24265641570091248,0.9568640768527985,0.24265641644597052,0.8469922959804534,0.07373150885105133,0.9624586939811707
2,0.061593948932985476,0.061593948932985476,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16190338134765625,0.8066921234130859,18.550910711288452,0.1909992321083943,0.9586594954133034,0.19099923198421795,0.867565493285656,0.06911476055781046,0.9648257806897164,0.16082986444234848,0.9601457685232162,0.16082986518740655,0.8784868001937867,0.06242797952145338,0.968283274769783
3,0.08372862337281309,0.08372862337281309,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12374991178512573,0.7998027801513672,19.49022936820984,0.14656697921454906,0.961560753484567,0.14656698008378347,0.88697343369325,0.0539430007028083,0.9726528972387314,0.13895353525877,0.9628178119659424,0.13895353451371192,0.8924440771341324,0.04744111653417349,0.9759927242994308
4,0.09442376259466012,0.09442376259466012,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133647620677948,0.7949128150939941,19.22145414352417,0.13360289906462033,0.9643111298481624,0.13360289856791496,0.8968609546621641,0.04378331732004881,0.9778642103075981,0.12815974950790404,0.9657509744167327,0.1281597502529621,0.9012579262256623,0.04081399105489254,0.9793816536664963
5,0.09805660877873502,0.09805660877873502,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1291365772485733,0.7908950448036194,18.81289505958557,0.1256615796436866,0.96646771778663,0.12566158001621563,0.9033045276999474,0.038677315382907786,0.9804718057314555,0.12504218891263008,0.9667070239782334,0.125042188167572,0.9038364678621292,0.03725675847381353,0.981196078658104
6,0.10023425197104613,0.10023425197104613,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12693338096141815,0.7878190279006958,19.019553184509277,0.12374499719589949,0.9670544972022375,0.12374499781678121,0.9048800508181254,0.03600297644734383,0.9818345874547958,0.12320932000875473,0.9671609252691269,0.12320932000875473,0.9052578121423721,0.0350588146597147,0.9823151707649231
7,0.10141495137164991,0.10141495137164991,WAIT,noop,-1,-1,-1,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124946728348732,0.784625768661499,19.121692419052124,0.122636764186124,0.9673894663651784,0.12263676406194766,0.9057478914658229,0.03434516433626413,0.9826784412066142,0.12241591140627861,0.9675264000892639,0.12241591103374957,0.9059569925069809,0.03351860921829939,0.9830988943576813
8,0.1024464491084218,0.1024464491084218,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12545114755630493,0.7813475728034973,18.950653314590454,0.12187181090315183,0.9676089813311894,0.12187181077897549,0.9063736200332642,0.03297613812610507,0.9833747093876203,0.12152894139289856,0.9676674604415894,0.12152894139289856,0.9066243231296539,0.03247887436300516,0.9836274236440659
9,0.10292223083476228,0.10292223083476228,WAIT,noop,-1,-1,-1,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12286215275526047,0.778032124042511,18.50291395187378,0.12133200218280156,0.9677597890297572,0.1213320018723607,0.9067955950895945,0.03207464146738251,0.9838329474131267,0.12125624492764472,0.9677201181650161,0.12125624492764472,0.9069553405046463,0.03175317831337452,0.983996233344078
10,0.10395350024973354,0.10395350024973354,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12600499391555786,0.7746326923370361,18.010188341140747,0.12073650322854519,0.9679332067569096,0.12073650304228067,0.9072897578279178,0.031366722440967956,0.9841925953825315,0.11994050107896329,0.9681116551160812,0.11994050219655036,0.9079966396093369,0.031083609629422426,0.984336307644844
11,0.10585936700801055,0.10585936700801055,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541453540325165,0.7713521718978882,18.238682746887207,0.11855682333310445,0.9683942586183548,0.11855682401607434,0.9090432231624921,0.030942290229722856,0.9844081804156304,0.1174648154526949,0.968649435043335,0.1174648154526949,0.9099128305912018,0.030804401263594627,0.9844782024621963
12,0.10676292312517763,0.10676292312517763,WAIT,noop,-1,-1,-1,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12194329500198364,0.768180251121521,18.126981019973755,0.11709110625088215,0.9687725121776263,0.11709110649923483,0.9102286502718926,0.030341928793738284,0.9847130417823792,0.1167461957782507,0.9688920736312866,0.11674619540572166,0.9105654746294022,0.02997224489226937,0.9849007546901702
13,0.107043051092575,0.107043051092575,GROW,add_depth,1,1,1,plateau_cleanup_planner,activated_layer_4_at_order_2_ref_2,0.18171313225130215,0.3658147437837627,0.3497611454038428,-0.1754327846453525,-999.0,0.14784397433018645,0.18722475766657748,0.04604734691143636,0.06623169034719467,0.11915850639343262,0.7650503516197205,18.19164204597473,0.11664233040064573,0.9689069772760074,0.11664233027646939,0.9105813041329384,0.02990439338609576,0.9849351758758227,0.11646573543548584,0.9689844638109207,0.11646573506295681,0.9107342332601547,0.02975502060726285,0.9850109785795211
14,0.10788859316706659,0.10788859316706659,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.18171313225130215,0.3658147437837627,0.3497611454038428,-0.1754327846453525,-999.0,0.14784397433018645,0.18722475766657748,0.04604734691143636,0.0,0.11419232189655304,0.7718016505241394,21.852829694747925,0.11628794216861328,0.9689711262782414,0.1162879421065251,0.9108927036325137,0.02956960202815632,0.9851051221291224,0.11573041714727879,0.9690922111272812,0.11573041714727879,0.9112962931394577,0.028978081047534944,0.9854053676128387
15,0.10836852595582606,0.10836852595582606,WAIT,noop,-1,-1,-1,normal,none,0.18171313225130215,0.3658147437837627,0.3497611454038428,-0.1754327846453525,-999.0,0.14784397433018645,0.18722475766657748,0.04604734691143636,0.0,0.11256644874811172,0.7679356932640076,21.914889812469482,0.11565640283127626,0.9691608185569446,0.11565640276918808,0.9113835612932841,0.028842973988503218,0.9854738160967826,0.11531938947737216,0.9691794246435166,0.11531939022243023,0.9116922944784165,0.028530083317309617,0.9856325596570968
16,0.10846741297592721,0.10846741297592721,GROW,add_width,1,2,1,plateau_cleanup_planner,activated_block_4_in_layer_1,0.17993582571106928,0.304385612333114,0.34587809439114126,-0.178944128957286,-999.0,0.14689314963892341,0.1878028654944891,0.04424386171473068,0.07002158463001251,0.11169228702783585,0.7639733552932739,21.737377166748047,0.11528495624661446,0.9692783315976461,0.11528495581199726,0.9117105722427368,0.028424605913460254,0.9856860528389613,0.11530893184244632,0.9694161176681518,0.11530893221497536,0.9116398155689239,0.028339759819209574,0.9857291638851166
17,0.10933134521171453,0.10933134521171453,WAIT,noop,-1,-1,-1,normal,none,0.17993582571106928,0.304385612333114,0.34587809439114126,-0.178944128957286,-999.0,0.14689314963892341,0.1878028654944891,0.04424386171473068,0.0,0.1106259822845459,0.7605936527252197,22.022785425186157,0.1154939716681838,0.9692360430955886,0.1154939716681838,0.91151691476504,0.028524344569693008,0.9856354470054308,0.11436814963817596,0.9695810794830322,0.11436814926564694,0.9123990327119827,0.027971102576702832,0.9859160542488098
18,0.10990471779058379,0.10990471779058379,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.17993582571106928,0.304385612333114,0.34587809439114126,-0.178944128957286,-999.0,0.14689314963892341,0.1878028654944891,0.04424386171473068,0.0,0.10795698314905167,0.7554547190666199,21.737082958221436,0.11427005355556806,0.9695559158921242,0.11427005343139171,0.9124674717585246,0.02793511503065626,0.9859342753887177,0.11371136158704757,0.9697216928005219,0.11371136233210563,0.9128991216421127,0.027716534025967122,0.9860451400279999
19,0.11066463356092572,0.11066463356092572,WAIT,noop,-1,-1,-1,normal,none,0.17993582571106928,0.304385612333114,0.34587809439114126,-0.178944128957286,-999.0,0.14689314963892341,0.1878028654944891,0.04424386171473068,0.0,0.10591989010572433,0.7501240968704224,22.425697565078735,0.11341731020559867,0.9697714850306511,0.1134173101435105,0.9131497025489808,0.027694133824358383,0.9860564604401588,0.11274341978132725,0.9699552357196808,0.11274341978132725,0.9136621683835984,0.027499847952276467,0.9861549764871598
20,0.11134996749336522,0.11134996749336522,GROW,add_width,4,2,1,plateau_cleanup_planner,activated_block_4_in_layer_4,0.2216787721415711,0.32630984591040174,0.33454820378496575,-0.21199193185637707,-999.0,0.15058094602392313,0.19349865441535719,0.04173019996728026,0.05974210053682327,0.10545390844345093,0.7448075413703918,22.633578300476074,0.1125348772853613,0.9699944545825322,0.1125348774716258,0.9138912831743559,0.027445228987683853,0.9861826449632645,0.11188244074583054,0.9700806111097335,0.11188244074583054,0.9144874334335327,0.027174499351531267,0.9863199263811111
21,0.11172877655923369,0.11172877655923369,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.2216787721415711,0.32630984591040174,0.33454820378496575,-0.21199193185637707,-999.0,0.15058094602392313,0.19349865441535719,0.04173019996728026,0.0,0.10480064153671265,0.7400603890419006,22.619215965270996,0.11150073229024808,0.9702347561717033,0.1115007320418954,0.9147201150655746,0.02714701951481402,0.9863338530063629,0.11120364405214786,0.970371350646019,0.1112036433070898,0.9149041891098022,0.02708585374057293,0.9863648682832717
22,0.11277825098236405,0.11277825098236405,WAIT,noop,-1,-1,-1,normal,none,0.2216787721415711,0.32630984591040174,0.33454820378496575,-0.21199193185637707,-999.0,0.15058094602392313,0.19349865441535719,0.04173019996728026,0.0,0.10315191745758057,0.7346885204315186,22.539356231689453,0.11061729043722153,0.970425279935201,0.11061729043722153,0.9154111747940381,0.026919429609552025,0.9864492023984591,0.10985617190599442,0.9705776453018189,0.10985617116093635,0.915974172949791,0.026717174053192138,0.98655164539814
23,0.11384898354485631,0.11384898354485631,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.2216787721415711,0.32630984591040174,0.33454820378496575,-0.21199193185637707,-999.0,0.15058094602392313,0.19349865441535719,0.04173019996728026,0.0,0.10259280353784561,0.7298071980476379,22.4689519405365,0.10916467377295097,0.9707542225718498,0.10916467371086279,0.9165546317895253,0.0266983220508943,0.9865612402558327,0.10838600993156433,0.9709216952323914,0.10838600918650627,0.9171731680631637,0.02648027250543237,0.9866717547178269
24,0.11392677568768464,0.11392677568768464,WAIT,noop,-1,-1,-1,normal,none,0.2216787721415711,0.32630984591040174,0.33454820378496575,-0.21199193185637707,-999.0,0.15058094602392313,0.19349865441535719,0.04173019996728026,0.0,0.10490699857473373,0.7253931164741516,22.415056705474854,0.10806301037470499,0.9710162629683813,0.10806301043679317,0.9174619724353155,0.026445295568555592,0.9866894910732905,0.10812044814229012,0.9708945572376251,0.10812044776976108,0.9174308210611344,0.026418784353882074,0.9867029666900635
25,0.11470276995003224,0.11470276995003224,GROW,add_width,0,2,1,plateau_cleanup_planner,activated_block_4_in_layer_0,0.16799579088298874,0.18794968950952254,0.34412210655578374,-0.2139058488578303,-999.0,0.15415587740534964,0.19482521323729468,0.047349270220167924,0.04938186705112457,0.10507350414991379,0.7213007807731628,22.366634845733643,0.1073129165917635,0.9712057133515676,0.10731291634341081,0.9180231849352519,0.026169337487469118,0.9868293300271034,0.10703709609806537,0.9712930291891098,0.10703709647059441,0.9182801187038422,0.026014550775289535,0.9869077295064926
26,0.11437640414511166,0.11470276995003224,WAIT,noop,-1,-1,-1,normal,none,0.16799579088298874,0.18794968950952254,0.34412210655578374,-0.2139058488578303,-999.0,0.15415587740534964,0.19482521323729468,0.047349270220167924,0.0,0.10331016778945923,0.7220987677574158,21.956233024597168,0.10802802536636591,0.9709467644492785,0.10802802468339602,0.917455273369948,0.026830538626139364,0.9864942133426666,0.10677767693996429,0.9713908940553665,0.10677767619490623,0.9184555977582931,0.025971210096031427,0.9869296997785568
27,0.11521369770914316,0.11521369770914316,GROW,add_depth,4,0,1,plateau_cleanup_planner,activated_layer_5_at_order_3_ref_2,0.16722870768412346,0.3011901860976392,0.2208613710510083,-0.16903515231419441,-999.0,0.1317219259013838,0.16351261211887158,0.03768707412994976,0.10357348620891571,0.10194345563650131,0.7175345420837402,22.27649188041687,0.10638006155689557,0.971420722703139,0.10638006180524825,0.9187741369009018,0.02576705653530856,0.9870331585407257,0.10566853024065495,0.9715957462787628,0.10566853135824203,0.919256043434143,0.02554598730057478,0.987145060300827
28,0.11575413168594244,0.11575413168594244,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.16722870768412346,0.3011901860976392,0.2208613710510083,-0.16903515231419441,-999.0,0.1317219259013838,0.16351261211887158,0.03768707412994976,0.0,0.10899334400892258,0.728613555431366,26.243611812591553,0.10570034614453713,0.9715997984011968,0.10570034595827262,0.9193617393573125,0.0255454082818081,0.9871454710761706,0.10514396391808986,0.9717118173837662,0.10514396391808986,0.9197121024131775,0.02544194972142577,0.9871978133916854
29,0.11597653673961761,0.11597653673961761,WAIT,noop,-1,-1,-1,normal,none,0.16722870768412346,0.3011901860976392,0.2208613710510083,-0.16903515231419441,-999.0,0.1317219259013838,0.16351261211887158,0.03768707412994976,0.0,0.10783284902572632,0.7239822149276733,26.537482738494873,0.10499880456676086,0.9717768530050913,0.10499880431840818,0.919908199707667,0.025287247309461237,0.987276203930378,0.10485972166061401,0.97183857858181,0.10485972128808499,0.9199761480093003,0.025345661211758852,0.9872465878725052
30,0.11664709923788907,0.11664709923788907,GROW,add_width,5,0,1,plateau_cleanup_planner,activated_block_4_in_layer_5,0.15420787296087585,0.23239078339531738,0.29488022355408006,-0.1628609576792196,-999.0,0.17477413742792025,0.23609286214429598,0.10791910646383675,0.12179771065711975,0.10736502707004547,0.7194091081619263,26.38395357131958,0.10438710326949756,0.9719260503848394,0.10438710333158573,0.9204145724574725,0.02509445920586586,0.9873737638195356,0.10412240847945213,0.9720200926065445,0.10412240661680698,0.9205905288457871,0.025021238159388302,0.9874109327793121
31,0.1167383997713526,0.1167383997713526,WAIT,noop,-1,-1,-1,normal,none,0.15420787296087585,0.23239078339531738,0.29488022355408006,-0.1628609576792196,-999.0,0.17477413742792025,0.23609286214429598,0.10791910646383675,0.0,0.10322842001914978,0.7148803472518921,26.015990257263184,0.10373991454641024,0.9720843936006228,0.10373991460849842,0.9209129735827446,0.024897448330496747,0.9874735097090404,0.10399612076580525,0.9719297349452972,0.10399612002074718,0.9206386744976044,0.02509023789316416,0.9873758733272553
32,0.1180689242358009,0.1180689242358009,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.15420787296087585,0.23239078339531738,0.29488022355408006,-0.1628609576792196,-999.0,0.17477413742792025,0.23609286214429598,0.10791910646383675,0.0,0.1033715233206749,0.710220217704773,25.894657850265503,0.10287585115681092,0.9722667033473651,0.10287585066010554,0.9215891058246295,0.02478887780259053,0.9875284637014071,0.10230050124228,0.97234006524086,0.10230050161480904,0.9220116078853607,0.024706882052123548,0.987569996714592
33,0.11863785396764677,0.11863785396764677,WAIT,noop,-1,-1,-1,normal,none,0.15420787296087585,0.23239078339531738,0.29488022355408006,-0.1628609576792196,-999.0,0.17477413742792025,0.23609286214429598,0.10791910646383675,0.0,0.10352998971939087,0.7057685852050781,26.046940565109253,0.10184638494004807,0.9724939490358034,0.1018463850642244,0.9224263916412989,0.024646133075778683,0.9876007681091626,0.1015154093503952,0.9724331378936768,0.10151540897786618,0.9226934164762497,0.024564805440604687,0.987641966342926
34,0.11930425507451098,0.11930425507451098,GROW,add_width,2,3,1,plateau_cleanup_planner,activated_block_4_in_layer_2,0.20074170836126354,0.1843874175651815,0.2796569811862362,-0.2277557893265039,-999.0,0.19906782973966414,0.267543517069905,0.10804337588568365,0.06016283482313156,0.10242938250303268,0.7012844085693359,26.063969612121582,0.10104433950036765,0.9726625144481659,0.1010443393761913,0.9230350608627002,0.02445953437127173,0.9876952067017555,0.10065022297203541,0.9727243691682815,0.10065022259950637,0.9233085334300994,0.024408093001693488,0.9877211958169937
35,0.1197384730813404,0.1197384730813404,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.20074170836126354,0.1843874175651815,0.2796569811862362,-0.2277557893265039,-999.0,0.19906782973966414,0.267543517069905,0.10804337588568365,0.0,0.10064124315977097,0.7018150687217712,28.428524494171143,0.10043331428120533,0.9728146483500798,0.10043331409494081,0.9235083937644959,0.024260307724277178,0.9877960567673048,0.10020313188433647,0.9729152202606202,0.10020313188433647,0.9237192213535309,0.024167430866509677,0.9878430753946305
36,0.12012618026137353,0.12012618026137353,WAIT,noop,-1,-1,-1,normal,none,0.20074170836126354,0.1843874175651815,0.2796569811862362,-0.2277557893265039,-999.0,0.19906782973966414,0.267543517069905,0.10804337588568365,0.0,0.09999729692935944,0.6970679759979248,33.640465259552,0.09987297262996435,0.9729594931006431,0.09987297300249338,0.9239173645774523,0.02411503338565429,0.9878695353865623,0.09964775256812572,0.9728548526763916,0.0996477521955967,0.9241084724664688,0.024186694994568825,0.9878332614898682
37,0.1210117320753634,0.1210117320753634,EXPLORE,descriptor_repair,3,3,1,plateau_cleanup_planner,"descriptor_repair_L3B3_steps_1_ops_residual_repair,delta_route,normalize",0.10539294460918264,-0.09191341202227554,0.005517183669125236,-0.2314555166895443,-999.0,0.2053567025258321,0.27229867830609006,0.11006958212405747,0.04285518079996109,0.09990596771240234,0.692406177520752,42.609158515930176,0.09931650881965955,0.9730957458416621,0.09931650869548321,0.9244197716315588,0.02394784811573724,0.9879541322588921,0.0986671045422554,0.973210734128952,0.09866710491478443,0.9249105215072632,0.023734065238386393,0.9880622535943985
38,0.1217151422550281,0.1217151422550281,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.10539294460918264,-0.09191341202227554,0.005517183669125236,-0.2314555166895443,-999.0,0.2053567025258321,0.27229867830609006,0.11006958212405747,0.0,0.1011461466550827,0.6882413625717163,31.405284881591797,0.09845957687745492,0.9733299593130748,0.09845957650492589,0.925116033355395,0.023765255215888223,0.9880465050538381,0.09764738343656063,0.9735246300697327,0.0976473841816187,0.9256482601165772,0.023709556087851524,0.9880746066570282
39,0.12248119700203342,0.12248119700203342,WAIT,noop,-1,-1,-1,normal,none,0.10539294460918264,-0.09191341202227554,0.005517183669125236,-0.2314555166895443,-999.0,0.2053567025258321,0.27229867830609006,0.11006958212405747,0.0,0.1020619198679924,0.6846857070922852,24.95046091079712,0.09680930394679307,0.9737058440844218,0.09680930425723394,0.926368759572506,0.023631223725775877,0.9881143311659495,0.09656400792300701,0.9737161725759507,0.09656400792300701,0.926583108305931,0.023722296021878718,0.9880681872367859
