epoch,train_loss,train_ce,train_reg,train_acc,val_loss,val_acc,best_acc,class_cos,logits_cell_norm,stage_lb,evidence_lb,operator_lb,register_diversity,global_diversity,memory_diversity,operator_entropy_per_block,block_diversity,route_diversity,adapter_diversity,phase_role,global_skip_penalty,late_write,late_dyn_gate,weak_class_late_read,role_diversity,role_anchor,category_diversity,category_entropy,signal_op_bias_norm,lr,current_late_gate_floor,speed_data_ms,speed_forward_ms,speed_backward_ms,speed_optimizer_ms
1,2.22802407639001,2.151095612074739,6.656204050159431e-07,0.19153225806451613,1.9713150424957275,0.251,0.251,0.7999253869056702,2.8204342126846313,0.007049680105410516,0.0007920108400867321,0.12368336319923401,1.40185546875,0.8077392578125,0.59423828125,0.02928881859406829,0.9784072414040565,0.9999847486615181,1.372564656776376e-05,0.2665134109556675,0.0,0.0,0.0,0.0,0.00047940301010385156,0.0014836591435596347,0.999537281692028,0.5648024007678032,2.239116072654724,0.00035,0.25,13.762695763440421,202.36484066667532,355.377929795691,14.663310000002483
2,2.025500141164308,1.9615775885120514,6.03240411486871e-07,0.2662130376344086,1.8266968574523925,0.309,0.309,0.5142408609390259,3.5861933529376984,0.02770144958049059,0.001678682048805058,0.07636376284062862,0.7001953125,0.314727783203125,0.385467529296875,0.03300051135011017,0.9730009585618973,0.9999745860695839,5.972796134301461e-05,0.23506636172533035,0.0,0.0,0.0,0.0,0.0,0.0004449144980753772,0.9996389970183372,0.5657182708382607,2.2568198144435883,0.0007,0.25,11.597477483870309,192.1420450752758,355.02619651613037,12.693212516131597
3,1.8747457855491227,1.8207319372443742,6.065186148491624e-07,0.3209845430107527,1.657772994041443,0.398,0.398,0.4422054588794708,4.055060505867004,0.0483963149599731,0.0025432432594243437,0.13722739927470684,0.5035400390625,0.28436279296875,0.2191925048828125,0.03252572240307927,0.9638098925352097,0.9999338984489441,1.3762640264758375e-05,0.07215814292430878,0.0,0.0,0.0,1.2031128306944083e-06,0.0,5.9397099903435446e-05,0.9996695443987846,0.27099569886922836,2.803399533033371,0.0006913551906842505,0.25,11.731061150539386,192.2210826021492,349.35879718279944,12.364319956990615
4,1.7116051668761878,1.6631465535010062,6.468474576424967e-07,0.38356854838709675,1.5565321359634399,0.432,0.432,0.4032553434371948,4.657944023609161,0.03797176759690046,0.004762296273838729,0.08269113395363092,0.328277587890625,0.281524658203125,0.046783447265625,0.0223147994838655,0.9463893622159958,0.9999033883213997,4.386897671793122e-06,0.046233950182795525,0.0,0.00454918947070837,3.2371326597058214e-05,0.0,0.0,0.0,0.9995678961277008,0.2421890627592802,3.379788786172867,0.0006659231676318299,0.25,12.066689946238746,189.1869398602212,349.52241884945545,12.359806387097148
5,1.6358149731031029,1.5928037474232335,7.109181364216721e-07,0.4078461021505376,1.4866904430389405,0.4545,0.4545,0.2626397907733917,5.316690802574158,0.05338734947144985,0.0030574163247365505,0.1047684196382761,0.2982177734375,0.282867431640625,0.015352249145507812,0.05787094868719578,0.9176681339740753,0.9968059584498405,6.391421720763901e-06,0.019999224692583084,0.0,0.0003095954507443821,0.004920153471175581,5.66813318982895e-05,0.0,0.0,0.9997915253043175,0.14237470366060734,3.748750239610672,0.0006251819475809026,0.25,12.558661881725843,191.6028246344086,355.1396955053738,13.151726150539695
6,1.54519562567434,1.5059037080375097,7.801894917163305e-07,0.44388440860215056,1.6155776348114013,0.403,0.4545,0.2210516333580017,6.118543267250061,0.05536426277831197,0.006737176910974085,0.112753976136446,0.282012939453125,0.279388427734375,0.0026319026947021484,0.035126926843076944,0.8986068367958069,0.8455998674035072,5.2360064728418365e-06,0.02090083248913288,0.001156260579591617,0.0049608509871177375,0.005301794793922454,0.0,0.0,0.0,0.9995729774236679,0.1326962672173977,3.652958333492279,0.0005714992621525188,0.2375,11.59610196774822,187.94699705375277,354.1987138279618,12.504389784936315
7,1.4518334211841706,1.4177754604688255,7.968701141337117e-07,0.4753024193548387,1.3796973905563354,0.4885,0.4885,0.19995000958442688,5.988304913043976,0.058421237859874964,0.008425936393905431,0.17355317249894142,0.27911376953125,0.277679443359375,0.0014219284057617188,0.12180621270090342,0.8492927923798561,0.5042454525828362,2.5651140731497435e-06,0.01092425175011158,0.04397386405616999,0.0010696731769712642,0.002397094911430031,0.0,0.0,0.0,0.9993545711040497,0.08190810773521662,3.8597015738487244,0.0005079949538951543,0.225,11.829004677409063,190.2519875913899,354.9116054300979,12.268528032253563
8,1.3751157342746694,1.3436282757789857,8.00825356231711e-07,0.5026881720430108,1.472915994644165,0.4675,0.4885,0.19833415746688843,6.539087533950806,0.055613277945667505,0.007890030450653285,0.2804748900234699,0.28045654296875,0.279388427734375,0.0010589361190795898,0.1955166682600975,0.783971756696701,0.4492093026638031,2.7861333364853635e-06,0.007527848705649376,0.03189714881591499,0.000501084141433239,0.0037305795995052904,0.0,0.0,0.0,0.9950746297836304,0.10694833379238844,3.883939892053604,0.0004383596623759586,0.2125,11.895205010755342,196.30998084945747,363.25382215053287,13.151441430096305
9,1.3458964350402995,1.3167230852188603,8.069598448190679e-07,0.5192372311827957,1.318350784301758,0.537,0.537,0.191849946975708,6.896472692489624,0.05681095039471984,0.007076471520122141,0.17828635312616825,0.299285888671875,0.297576904296875,0.0017257928848266602,0.11860837414860725,0.6374313905835152,0.3733340837061405,9.092976824831567e-07,0.02301785722374916,0.013636608142405748,0.0002655198350112187,0.0019904531654901803,0.00010300650592398597,0.0,0.0,0.9998067989945412,0.07853252813220024,4.119020521640778,0.00036664033762404146,0.2,12.839410419344429,199.78955091397606,363.6145824516217,13.985765967728154
10,1.2654339087906705,1.23958368327028,8.106674115840168e-07,0.5403225806451613,1.276686740875244,0.543,0.543,0.177634596824646,6.950487852096558,0.0632445802912116,0.005185411951970309,0.18532130680978298,0.293304443359375,0.28900146484375,0.004343271255493164,0.11269787978380919,0.473599448800087,0.3473713882267475,2.072742290692986e-06,0.024906469509005547,0.00634858530247584,0.00014252129494707333,0.00029557515517808497,0.0011657110371743329,0.0,0.0,0.9993644803762436,0.10315026808530092,3.8449311554431915,0.0002970050461048456,0.1875,11.815629096777377,192.5151136774265,357.6506659784901,13.189339279567507
11,1.2057683801138273,1.1822374879672963,8.202812791164287e-07,0.5651041666666666,1.246610954284668,0.565,0.565,0.17757248878479004,7.092370092868805,0.06022254889830947,0.005950316379312426,0.17029235884547234,0.33074951171875,0.31640625,0.014348030090332031,0.08821449801325798,0.3963025398552418,0.34194546937942505,1.0636819069986814e-06,0.02411840297281742,0.007812129450030625,3.6854973529898416e-05,0.00010431380178488325,0.0005584820428339299,0.0,0.0,0.9989433363080025,0.10515767801553011,4.014101564884186,0.00023350073784748118,0.175,11.743208172048824,188.63941177420122,346.79024384945234,12.113758301064726
12,1.1408344167535023,1.1195292831749044,8.253302264889225e-07,0.5877016129032258,1.2238187284469604,0.5595,0.565,0.17193356156349182,7.039619028568268,0.059265685733407736,0.00595886935479939,0.202266413718462,0.289581298828125,0.284576416015625,0.005016326904296875,0.13667247258126736,0.3641560785472393,0.33976612612605095,6.674272299278527e-07,0.014816200360655785,0.00116109341615811,5.975847511763277e-05,3.2904903491726145e-05,2.78531636088708e-08,0.0,0.0,0.9987353309988976,0.084043949842453,4.035437345504761,0.00017981805241909737,0.16249999999999998,11.604520258051023,187.99447962366136,350.64774460215875,11.989644483868668
13,1.1062791116776005,1.0866263072977784,8.303903903515186e-07,0.5995463709677419,1.1963552608489991,0.581,0.581,0.16576936841011047,7.3527891635894775,0.0621589757502079,0.004929707269184291,0.16020925156772137,0.29486083984375,0.287841796875,0.007022380828857422,0.08586990553885698,0.33047056943178177,0.3369540646672249,2.6943479269903037e-07,0.015976984053850174,0.004033894161693752,3.5570389172789874e-05,1.2522765380912348e-07,0.0004540373556665145,0.0,0.0,0.9976828619837761,0.0985214151442051,4.166631400585175,0.00013907683236817007,0.15,11.664853064518464,188.6347439569891,345.5388619354918,12.13461721506788
14,1.0795292258262634,1.0605212533345787,8.285138191758863e-07,0.6118951612903226,1.1836119050979614,0.5895,0.5895,0.16253820061683655,7.256047248840332,0.06390619743615389,0.0056041854550130665,0.1672476828098297,0.308441162109375,0.3011474609375,0.007292270660400391,0.0919599374756217,0.2516298033297062,0.3363925516605377,3.1571372005601006e-07,0.022304488345980644,0.0026549356407485902,6.407678348807622e-06,0.0,0.0007351773747359402,0.0,0.0,0.9990089535713196,0.09501438867300749,4.229394435882568,0.00011364480931574952,0.15,11.772737301075672,190.71976312903564,350.45018720430437,12.376157612910296
15,1.0544771308540015,1.0358088766374896,8.309357821740231e-07,0.618195564516129,1.2044669055938722,0.571,0.5895,0.1634526252746582,7.407960534095764,0.061167546547949314,0.00613288558088243,0.1779093835502863,0.29052734375,0.281341552734375,0.009185791015625,0.10335809737443924,0.2712252587080002,0.33621999248862267,8.125279578052869e-07,0.015314849093556404,0.0031397917482536286,8.121482970580018e-06,0.0,6.419098554033553e-05,0.0,0.0,0.9986035525798798,0.09283151850104332,4.449762403964996,0.00010499999999999999,0.15,11.636623247299486,193.16805419354446,358.0294073978635,12.894562247291555
