-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     717.053ms      1285.17%     717.053ms      71.705ms           0 b           0 b           0 b           0 b            10  
                                          ProfilerStep*        47.31%     533.002ms        66.42%     748.296ms      74.830ms       0.000us         0.00%      24.376ms       2.438ms           0 b           8 b           0 b    -711.36 Mb            10  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      19.085ms        34.21%      19.085ms       1.909ms           0 b           0 b           0 b           0 b            10  
                                               aten::mm         2.41%      27.121ms         3.64%      41.009ms      51.261us      14.565ms        26.11%      14.565ms      18.206us           0 b           0 b     237.97 Mb     237.97 Mb           800  
    autograd::engine::evaluate_function: AddmmBackward0         0.81%       9.093ms         4.90%      55.187ms     344.920us       0.000us         0.00%      11.174ms      69.835us           0 b           0 b     -79.36 Mb    -234.33 Mb           160  
                                         AddmmBackward0         0.50%       5.589ms         2.68%      30.203ms     188.770us       0.000us         0.00%       8.621ms      53.883us           0 b           0 b     154.84 Mb           0 b           160  
                                       aten::layer_norm         0.07%     772.326us         1.42%      15.972ms     122.863us       0.000us         0.00%       7.316ms      56.279us           0 b           0 b     124.38 Mb           0 b           130  
                                aten::native_layer_norm         0.68%       7.696ms         1.35%      15.200ms     116.922us       7.316ms        13.11%       7.316ms      56.279us           0 b           0 b     124.38 Mb           0 b           130  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       7.316ms        13.11%       7.316ms      56.279us           0 b           0 b           0 b           0 b           130  
                                  sgemm_32x32x32_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us       7.044ms        12.63%       7.044ms      26.091us           0 b           0 b           0 b           0 b           270  
